Iter	Fold	TestAcc	ACC1	PRE1	REC1	F1_1	ACC2	PRE2	REC2	F1_2
9	3	-	0.9169	0.8250	0.7399	0.7780	0.9169	0.9305	0.965000	0.9471
9	4	-	0.9167	0.8552	0.8038	0.8278	0.9167	0.9358	0.954700	0.9450
10	0	-	0.9492	0.9138	0.8750	0.8935	0.9492	0.9596	0.973950	0.9667
10	1	-	0.9336	0.9118	0.8589	0.8836	0.9336	0.9415	0.966300	0.9536
10	2	-	0.9297	0.9423	0.7668	0.8449	0.9297	0.9268	0.984050	0.9545
10	3	-	0.9253	0.8709	0.8286	0.8386	0.9253	0.9412	0.963850	0.9514
10	4	-	0.9115	0.8666	0.7709	0.8158	0.9115	0.9261	0.957900	0.9417
11	0	-	0.9325	0.8504	0.8857	0.8646	0.9325	0.9584	0.952250	0.9549
11	1	-	0.9414	0.9219	0.8649	0.8913	0.9414	0.9479	0.972550	0.9599
11	2	-	0.9414	0.9465	0.8378	0.8846	0.9414	0.9400	0.983500	0.9607
11	3	-	0.9291	0.9334	0.7611	0.8384	0.9291	0.9305	0.978250	0.9537
11	4	-	0.9232	0.8225	0.8715	0.8439	0.9232	0.9526	0.945100	0.9486
12	0	-	0.9198	0.8685	0.8163	0.8407	0.9198	0.9368	0.956200	0.9464
12	1	-	0.9229	0.9166	0.7738	0.8392	0.9229	0.9263	0.973100	0.9491
12	2	-	0.9453	0.9629	0.8378	0.8906	0.9453	0.9406	0.989000	0.9636
12	3	-	0.9369	0.9762	0.7726	0.8583	0.9369	0.9259	0.994850	0.9589
12	4	-	0.9219	0.8710	0.8286	0.8484	0.9219	0.9382	0.957000	0.9474
13	0	-	0.9375	0.8965	0.8485	0.8710	0.9375	0.9495	0.968400	0.9587
13	1	-	0.9229	0.8219	0.8649	0.8357	0.9229	0.9479	0.950800	0.9488
13	2	-	0.9102	0.7963	0.6623	0.7179	0.9102	0.9184	0.971650	0.9435
13	3	-	0.9336	0.9546	0.7857	0.8508	0.9336	0.9293	0.989250	0.9573
13	4	-	0.8985	0.7076	0.8649	0.7549	0.8985	0.9479	0.924150	0.9345
14	0	-	0.9325	0.9143	0.8028	0.8529	0.9325	0.9431	0.967400	0.9550
14	1	-	0.9043	0.8318	0.7962	0.8132	0.9043	0.9286	0.943100	0.9357
14	2	-	0.9219	0.9643	0.6611	0.7812	0.9219	0.9155	0.989150	0.9509
14	3	-	0.9369	0.8815	0.8514	0.8507	0.9369	0.9456	0.976000	0.9593
14	4	-	0.9271	0.8466	0.8594	0.8508	0.9271	0.9546	0.949500	0.9518
-	-	0.9275	0.9275	0.8793	0.8216	0.8418	0.9275	0.9409	0.9652	0.9523
