Iter	Fold	TestAcc	ACC1	PRE1	REC1	F1_1	ACC2	PRE2	REC2	F1_2
0	0	-	0.9414	0.9032	0.8677	0.8846	0.9414	0.9536	0.968100	0.9607
0	1	-	0.9083	0.7500	0.8553	0.7721	0.9083	0.9439	0.941700	0.9410
0	2	-	0.9180	0.9348	0.7227	0.8124	0.9180	0.9141	0.984050	0.9475
0	3	-	0.9008	0.8400	0.7882	0.8070	0.9008	0.9277	0.938950	0.9325
0	4	-	0.9050	0.7990	0.7881	0.7934	0.9050	0.9349	0.939750	0.9373
1	0	-	0.9325	0.7745	0.8846	0.8110	0.9325	0.9522	0.959700	0.9554
1	1	-	0.9453	0.9243	0.8784	0.9000	0.9453	0.9526	0.972550	0.9624
1	2	-	0.9141	0.9584	0.6807	0.7960	0.9141	0.9052	0.989350	0.9454
1	3	-	0.9453	0.9375	0.8281	0.8750	0.9453	0.9471	0.984400	0.9650
1	4	-	0.9128	0.8375	0.8012	0.8185	0.9128	0.9356	0.949900	0.9426
2	0	-	0.9325	0.8265	0.8919	0.8529	0.9325	0.9575	0.953300	0.9551
2	1	-	0.9336	0.9000	0.8428	0.8693	0.9336	0.9439	0.967750	0.9555
2	2	-	0.9102	0.9423	0.6619	0.7771	0.9102	0.9055	0.983850	0.9430
2	3	-	0.9453	0.9166	0.8677	0.8906	0.9453	0.9541	0.973400	0.9636
2	4	-	0.8842	0.7167	0.7472	0.7179	0.8842	0.9266	0.928250	0.9263
3	0	-	0.9365	0.8594	0.8971	0.8758	0.9365	0.9636	0.951650	0.9573
3	1	-	0.9190	0.8482	0.8382	0.8376	0.9190	0.9450	0.948400	0.9460
3	2	-	0.9375	0.8974	0.8472	0.8578	0.9375	0.9461	0.976050	0.9597
3	3	-	0.9375	0.9166	0.8125	0.8572	0.9375	0.9423	0.979150	0.9600
3	4	-	0.9219	0.8666	0.8236	0.8438	0.9219	0.9388	0.957450	0.9480
4	0	-	0.9325	0.9028	0.8310	0.8630	0.9325	0.9474	0.962350	0.9546
4	1	-	0.9297	0.9000	0.8334	0.8637	0.9297	0.9388	0.967400	0.9526
4	2	-	0.9375	0.9546	0.7879	0.8609	0.9375	0.9301	0.989800	0.9589
4	3	-	0.9253	0.8477	0.8472	0.8392	0.9253	0.9445	0.959000	0.9509
4	4	-	0.9089	0.7996	0.8382	0.8085	0.9089	0.9450	0.937700	0.9403
5	0	-	0.9365	0.9143	0.8310	0.8689	0.9365	0.9477	0.967750	0.9576
5	1	-	0.9190	0.8606	0.8236	0.8334	0.9190	0.9412	0.953700	0.9464
5	2	-	0.9258	0.8869	0.8143	0.8345	0.9258	0.9375	0.970000	0.9522
5	3	-	0.9291	0.8393	0.8421	0.8225	0.9291	0.9400	0.971050	0.9541
5	4	-	0.9154	0.8750	0.7546	0.8095	0.9154	0.9223	0.969400	0.9453
6	0	-	0.9404	0.8778	0.8940	0.8833	0.9404	0.9643	0.956200	0.9598
6	1	-	0.9268	0.8541	0.8677	0.8573	0.9268	0.9541	0.948400	0.9507
6	2	-	0.9492	0.9667	0.8589	0.9058	0.9492	0.9439	0.988750	0.9652
6	3	-	0.9330	0.8500	0.8649	0.8475	0.9330	0.9490	0.965000	0.9562
6	4	-	0.9089	0.7527	0.8514	0.7824	0.9089	0.9433	0.940300	0.9408
7	0	-	0.9276	0.7762	0.9189	0.8306	0.9276	0.9677	0.939550	0.9528
7	1	-	0.9229	0.8219	0.8649	0.8357	0.9229	0.9479	0.950800	0.9488
7	2	-	0.9375	0.9524	0.7879	0.8518	0.9375	0.9346	0.989450	0.9604
7	3	-	0.9570	0.9677	0.8816	0.9203	0.9570	0.9536	0.988900	0.9706
7	4	-	0.9089	0.7888	0.8428	0.8035	0.9089	0.9445	0.938600	0.9405
8	0	-	0.9325	0.9166	0.7804	0.8395	0.9325	0.9435	0.967050	0.9551
8	1	-	0.9229	0.9194	0.7611	0.8325	0.9229	0.9267	0.972850	0.9492
8	2	-	0.9375	0.9085	0.8428	0.8616	0.9375	0.9466	0.975350	0.9596
8	3	-	0.9453	0.9334	0.8611	0.8940	0.9453	0.9490	0.978250	0.9631
8	4	-	0.9375	0.8871	0.8637	0.8750	0.9375	0.9536	0.963150	0.9584
9	0	-	0.9414	0.9074	0.8438	0.8729	0.9414	0.9505	0.973950	0.9620
9	1	-	0.9414	0.9285	0.8428	0.8810	0.9414	0.9450	0.978500	0.9611
9	2	-	0.9297	0.9400	0.7709	0.8459	0.9297	0.9266	0.984200	0.9545
